id, deeplink,thumbnail_img_src,has_motiv,motiv,motivkategorie
"4151","https://www.otto.de/p/name-it-print-oberteil-mit-kurzen-aermeln-668364036/#variationId=668364039","https://i.otto.de/i/otto/23693985?$001PICT36$","1","Frau","Mensch"
"4153","https://www.otto.de/p/name-it-print-oberteil-mit-kurzen-aermeln-678124689/#variationId=678124693","https://i.otto.de/i/otto/24532465?$001PICT36$","1","Frau","Mensch"
"4344","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-foto-print-707427965/#variationId=707427976","https://i.otto.de/i/otto/26920436?$001PICT36$","1","Frau","Mensch"
"4290","https://www.otto.de/p/name-it-print-oberteil-mit-kurzen-aermeln-668364036/#variationId=668364039","https://i.otto.de/i/otto/23693992?$001PICT36$","1","Frau","Mensch"
"4381","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-foto-print-707427965/#variationId=707427976","https://i.otto.de/i/otto/26920445?$001PICT36$","1","Frau","Mensch"
"4399","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-foto-print-707427965/#variationId=707427976","https://i.otto.de/i/otto/26920440?$001PICT36$","1","Frau","Mensch"
"4254","https://www.otto.de/p/name-it-print-t-shirt-688477902/#variationId=688477903","https://i.otto.de/i/otto/25541750?$001PICT36$","1","Frau","Mensch"
"4439","https://www.otto.de/p/name-it-grafikprint-oberteil-mit-langen-aermeln-678319771/#variationId=678319773","https://i.otto.de/i/otto/24532424?$001PICT36$","1","Frau","Mensch"
"4552","https://www.otto.de/p/name-it-grafikprint-oberteil-mit-langen-aermeln-678319771/#variationId=678319773","https://i.otto.de/i/otto/24532426?$001PICT36$","1","Frau","Mensch"
"3194","https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2006841/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1521827177/2006841-1-01.jpg","1","Banane","Essen und Trinken"
"4203","https://www.otto.de/p/noppies-top-frederick-590404031/#variationId=590404037","https://i.otto.de/i/otto/20765234?$001PICT36$","1","Banane","Essen und Trinken"
"749","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-motiv-print-693607427/#variationId=693607446","https://i.otto.de/i/otto/26850910?$001PICT36$","1","Marienkäfer","Tier"
"1451","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-motiv-print-692884005/#variationId=692884006","https://i.otto.de/i/otto/26808151?$001PICT36$","1","Marienkäfer","Tier"
