id,deeplink_href,thumbnail_img_src,title,has_motiv,has_glitzer,geschlecht,shop,colors_palette_id,is_primary,R,G,B,H,S,V,HEX,name_de,name_en,parent_name_de_2, R_palette, G_palette, B_palette, H_palette, S_palette, V_palette, weight_parent_color
1608,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2011569/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528463027/2011569-1-01.jpg",Here and There,1,0,f,c_und_a,111,1,242,198,192,7,21,95,#ffc0cb,Rosa,pink,rosa,255,192,203,350,25,100,0.5
1609,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2003256/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1523349066/2003256-1-08.jpg",Palomino,1,0,f,c_und_a,107,0,220,140,164,342,36,86,#db7093,blasses Violettrot,palevioletred,rosa,219,112,147,340,49,86,0.25
1609,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2003256/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1523349066/2003256-1-08.jpg",Palomino,1,0,f,c_und_a,34,0,140,211,150,128,34,83,#8fbc8f,dunkles Seegruen,darkseagreen,gruen,143,188,143,120,24,74,0.25
1609,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2003256/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1523349066/2003256-1-08.jpg",Palomino,1,0,f,c_und_a,124,1,191,191,191,0,0,75,#c0c0c0,Silber,silver,grau,192,192,192,0,0,75,0.5
1610,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2009264/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524502354/2009264-1-01.jpg",Here and There,1,0,m,c_und_a,75,0,107,141,158,200,32,62,#778899,helles Schiefergrau,lightslategrey,grau,119,136,153,210,22,60,0.25
1610,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2009264/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524502354/2009264-1-01.jpg",Here and There,1,0,m,c_und_a,57,0,215,76,74,1,66,84,#cd5c5c,Indischrot,indianred,rot,205,92,92,0,55,80,0.25
1610,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2009264/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524502354/2009264-1-01.jpg",Here and There,1,0,m,c_und_a,48,1,234,234,244,240,4,96,#f8f8ff,Geisterweiss,ghostwhite,weiss,248,248,255,240,3,100,0.5
1611,https://www.c-and-a.com/de/de/shop/lego-ninjago-kurzarmshirt-2017211/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530545841/2017211-1-08.jpg",undefined,1,1,m,c_und_a,121,0,60,129,84,141,53,51,#2e8b57,Seegruen,seagreen,gruen,46,139,87,146,67,55,0.25
1611,https://www.c-and-a.com/de/de/shop/lego-ninjago-kurzarmshirt-2017211/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530545841/2017211-1-08.jpg",undefined,1,1,m,c_und_a,8,0,20,25,25,180,20,10,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.25
1611,https://www.c-and-a.com/de/de/shop/lego-ninjago-kurzarmshirt-2017211/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530545841/2017211-1-08.jpg",undefined,1,1,m,c_und_a,26,1,165,166,176,235,6,69,#a9a9a9,Dunkelgrau,darkgrey,grau,169,169,169,0,0,66,0.5
1612,https://www.c-and-a.com/de/de/shop/minnie-maus-langarmshirt-bio-baumwolle-glanz-effekt-2012561/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532361319/2012561-1-08.jpg",Disney Girls,1,1,f,c_und_a,107,0,143,99,117,335,31,56,#db7093,blasses Violettrot,palevioletred,rosa,219,112,147,340,49,86,0.25
1612,https://www.c-and-a.com/de/de/shop/minnie-maus-langarmshirt-bio-baumwolle-glanz-effekt-2012561/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532361319/2012561-1-08.jpg",Disney Girls,1,1,f,c_und_a,8,0,37,28,35,313,24,15,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.25
1612,https://www.c-and-a.com/de/de/shop/minnie-maus-langarmshirt-bio-baumwolle-glanz-effekt-2012561/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532361319/2012561-1-08.jpg",Disney Girls,1,1,f,c_und_a,26,1,165,162,163,340,2,65,#a9a9a9,Dunkelgrau,darkgrey,grau,169,169,169,0,0,66,0.5
1613,https://www.c-and-a.com/de/de/shop/minnie-maus-langarmshirt-bio-baumwolle-glanz-effekt-2012559/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530884681/2012559-1-08.jpg",Disney Girls,1,0,f,c_und_a,133,0,218,188,204,328,14,85,#d8bfd8,Distel,thistle,lila,216,191,216,300,12,85,0.25
1613,https://www.c-and-a.com/de/de/shop/minnie-maus-langarmshirt-bio-baumwolle-glanz-effekt-2012559/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530884681/2012559-1-08.jpg",Disney Girls,1,0,f,c_und_a,8,0,54,54,56,240,4,22,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.25
1613,https://www.c-and-a.com/de/de/shop/minnie-maus-langarmshirt-bio-baumwolle-glanz-effekt-2012559/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530884681/2012559-1-08.jpg",Disney Girls,1,0,f,c_und_a,92,1,38,43,70,231,46,27,#191970,Mitternachtsblau,midnightblue,blau,25,25,112,240,78,44,0.5
1614,https://www.c-and-a.com/de/de/shop/kurzarmshirt-2010349/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532966835/2010349-1-01.jpg",Here and There,1,0,m,c_und_a,57,0,209,80,104,349,62,82,#cd5c5c,Indischrot,indianred,rot,205,92,92,0,55,80,0.25
1614,https://www.c-and-a.com/de/de/shop/kurzarmshirt-2010349/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532966835/2010349-1-01.jpg",Here and There,1,0,m,c_und_a,41,0,62,63,74,235,16,29,#696969,Dunkelgrau,dimgrey,grau,105,105,105,0,0,41,0.25
1614,https://www.c-and-a.com/de/de/shop/kurzarmshirt-2010349/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532966835/2010349-1-01.jpg",Here and There,1,0,m,c_und_a,76,1,170,184,202,214,16,79,#b0c4de,helles Stahlblau,lightsteelblue,blau,176,196,222,214,21,87,0.5
1615,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2008468/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1525793853/2008468-1-08.jpg",Palomino,1,1,m,c_und_a,92,0,26,46,89,221,71,35,#191970,Mitternachtsblau,midnightblue,blau,25,25,112,240,78,44,0.5
1615,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-2008468/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1525793853/2008468-1-08.jpg",Palomino,1,1,m,c_und_a,125,1,100,208,229,190,56,90,#87ceeb,Himmelblau,skyblue,blau,135,206,235,197,43,92,0.5
1616,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2012215/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528898989/2012215-1-08.jpg",Palomino,0,0,f,c_und_a,66,0,215,113,123,354,47,84,#f08080,helles Korallenrot,lightcoral,rosa,240,128,128,0,47,94,0.25
1616,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2012215/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528898989/2012215-1-08.jpg",Palomino,0,0,f,c_und_a,60,0,208,224,133,71,41,88,#f0e68c,staubfarben,khaki,gelb,240,230,140,54,42,94,0.25
1616,https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2012215/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1528898989/2012215-1-08.jpg",Palomino,0,0,f,c_und_a,125,1,79,193,213,189,63,84,#87ceeb,Himmelblau,skyblue,blau,135,206,235,197,43,92,0.5
1618,https://www.c-and-a.com/de/de/shop/feuerwehrmann-sam-kurzarmshirt-2033466/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530109781/2033466-1-08.jpg",undefined,1,0,m,c_und_a,35,0,65,74,132,232,51,52,#483d8b,dunkles Schieferblau,darkslateblue,lila,72,61,139,248,56,55,0.5
